5.741441528033635056e-01,3.350444787843083194e+00
7.452418774703066795e-01,6.697671265788851969e+00
1.174416460129651840e+00,9.836239270754573383e+00
1.352653853868612810e+00,1.070436493399194511e+01
1.747966826987752853e+00,8.683953252411919621e+00
1.813658924930172667e+00,9.467073985895874344e+00
2.171145966371458069e+00,8.520041982530665692e+00
2.208548525054681022e+00,8.755216447486791509e+00
2.805004541488781200e+00,6.368097769128979735e+00
2.844245298522551035e+00,4.056875740095952310e+00
3.409741596210634107e+00,1.922098000694050235e+00
3.727272742889344403e+00,1.430818078507120950e+00
3.926311162535607746e+00,1.857730423949232490e+00
4.142157941712987679e+00,2.205817259111926276e+00
4.303622661598101473e+00,1.898595717283610984e+00
4.462560351141795500e+00,4.504026557381452633e+00
4.860843072057110525e+00,3.448061923122505590e+00
5.345078448142137617e+00,5.997484385747394064e+00
5.356632870147675973e+00,7.544368481947310023e+00
5.749933930006159599e+00,1.049770401541091047e+01
5.857228264033511600e+00,1.141042935379789647e+01
5.880037865685506127e+00,1.026389421411395197e+01
6.259101385993928623e+00,1.176844559641317289e+01
6.876502008911948849e+00,1.438868071474897192e+01
6.992471847998803725e+00,1.244681109161012422e+01
7.076266939615813989e+00,1.350803212288315969e+01
7.222139030074158583e+00,1.284440830319383409e+01
7.287045564549062604e+00,1.112714476029883670e+01
7.465538236539217110e+00,1.034631076298838614e+01
7.747305995657837840e+00,5.316987120333419803e+00
